	0	1	2	3	4	BT
261	2018/12/07	00:43:30	80	3449	0	34.764210000000006
262	2018/12/07	00:43:40	80	3450	0	34.77429
263	2018/12/07	00:43:50	80	3452	0	34.794450000000005
264	2018/12/07	00:44:00	80	3456	0	34.834770000000006
265	2018/12/07	00:44:10	82	3457	0	34.84485
266	2018/12/07	00:44:20	82	3459	0	34.865010000000005
267	2018/12/07	00:44:30	82	3456	0	34.834770000000006
268	2018/12/07	00:44:40	82	3466	0	34.935570000000006
269	2018/12/07	00:44:50	83	3461	0	34.88517
270	2018/12/07	00:45:00	83	3465	0	34.925489999999996
271	2018/12/07	00:45:10	84	3464	0	34.91541
272	2018/12/07	00:45:20	82	3466	0	34.935570000000006
273	2018/12/07	00:45:30	81	3469	0	34.965810000000005
274	2018/12/07	00:45:40	79	3171	0	31.96197
275	2018/12/07	00:45:50	79	3473	0	35.006130000000006
276	2018/12/07	00:46:00	80	3476	0	35.036370000000005
277	2018/12/07	00:46:10	84	3477	0	35.04645
278	2018/12/07	00:46:20	84	3480	0	35.076690000000006
279	2018/12/07	00:46:30	83	3481	0	35.08677
280	2018/12/07	00:46:40	80	3481	0	35.08677
281	2018/12/07	00:46:50	81	3485	0	35.12709
282	2018/12/07	00:47:00	84	3485	0	35.12709
283	2018/12/07	00:47:10	81	3487	0	35.14725000000001
284	2018/12/07	00:47:20	81	3486	0	35.13717
285	2018/12/07	00:47:30	80	3487	0	35.14725000000001
286	2018/12/07	00:47:40	81	3489	0	35.16741
287	2018/12/07	00:47:50	82	3492	0	35.19765
288	2018/12/07	00:48:00	82	3494	0	35.21781000000001
289	2018/12/07	00:48:10	81	3495	0	35.22789
290	2018/12/07	00:48:20	80	3496	0	35.23797
291	2018/12/07	00:48:30	82	3496	0	35.23797
292	2018/12/07	00:48:40	83	3501	0	35.28837
293	2018/12/07	00:48:50	84	3498	0	35.25813
294	2018/12/07	00:49:00	85	3499	0	35.26821
295	2018/12/07	00:49:10	84	3502	0	35.29845
296	2018/12/07	00:49:20	82	3506	0	35.338770000000004
297	2018/12/07	00:49:30	81	3507	0	35.34885
298	2018/12/07	00:49:40	81	3504	0	35.31861000000001
299	2018/12/07	00:49:50	83	3508	0	35.35893
300	2018/12/07	00:50:00	83	3511	0	35.38917000000001
301	2018/12/07	00:50:10	81	3509	0	35.36901
302	2018/12/07	00:50:20	81	3511	0	35.38917000000001
303	2018/12/07	00:50:30	83	3510	0	35.37909
304	2018/12/07	00:50:40	82	3511	0	35.38917000000001
305	2018/12/07	00:50:50	80	3510	0	35.37909
306	2018/12/07	00:51:00	81	3511	0	35.38917000000001
307	2018/12/07	00:51:10	85	3516	0	35.43957
308	2018/12/07	00:51:20	78	3512	0	35.39925
309	2018/12/07	00:51:30	81	3515	0	35.42949
310	2018/12/07	00:51:40	83	3518	0	35.45973000000001
311	2018/12/07	00:51:50	85	3518	0	35.45973000000001
312	2018/12/07	00:52:00	84	3517	0	35.44965
313	2018/12/07	00:52:10	83	3522	0	35.50005
314	2018/12/07	00:52:20	83	3518	0	35.45973000000001
315	2018/12/07	00:52:30	85	3521	0	35.48997
316	2018/12/07	00:52:40	87	3522	0	35.50005
317	2018/12/07	00:52:50	84	3525	0	35.53029
318	2018/12/07	00:53:00	83	3521	0	35.48997
319	2018/12/07	00:53:10	83	3524	0	35.52021
320	2018/12/07	00:53:20	82	3527	0	35.55045
321	2018/12/07	00:53:30	80	3526	0	35.54037
322	2018/12/07	00:53:40	81	3528	0	35.56053
